query,query_type
uss arizona definition,description
what can exercises can you do for plantar fasciitis,description
what is paneer,description
internal temperature for cooked fish,numeric
choose what happens when i connect iphone to my computer,description
where does roast beef come from,location
how many days are in a school year for students in tennessee,numeric
what is eccn info,description
what means lexy,description
what color is molten lead,entity
what is the incubation period for mourning dove eggs,numeric
what is a normal estradiol level in a woman,description
what is a currier,description
what skills of mindfulness,description
cost of death penalty vs life imprisonment,numeric
Leukemia is a type of cancer that affects ____,entity
which organisms contain a nucleus,entity
